Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00150.dat            3.17      -0.205       0.631     -0.0417         5.9      -0.202      -0.428      -0.344        5.73       0.844       0.538       0.826       0.404        11.6        10.2        7.82        10.2        7.71       0.709       0.974       0.795       0.774       0.988
MA99BC-5-coarse-anm-00151.dat             2.6       -1.14       0.828       0.558        6.08       0.871      -0.633       -1.01        6.38       0.774       0.427        0.73       0.397        12.3        9.31        5.85        9.23         5.8       0.544       0.918       0.667       0.611        0.96
MA99BC-5-coarse-anm-00152.dat             2.7        -2.1       0.833      -0.432        6.33       0.347       0.089      -0.564        6.13       0.802       0.427       0.762       0.457        12.7        9.46        7.43        9.44        7.46       0.682       0.961       0.775        0.74       0.979
MA99BC-5-coarse-anm-00153.dat             1.8       0.453      -0.329      -0.222        3.45      -0.188       0.228      0.0564        5.72       0.874       0.523       0.859       0.412        6.96        5.11        5.13        5.11        5.13        0.86       0.983       0.904       0.884        0.99
MA99BC-5-coarse-anm-00154.dat            2.96      -0.805       0.207      -0.604        5.98       -0.54      -0.139      0.0351         5.9       0.841       0.494        0.82       0.429        11.9          11        8.24          11        8.19       0.717       0.976       0.801       0.782       0.989
MA99BC-5-coarse-anm-00155.dat            1.94        2.81      -0.355       0.178        6.13      -0.893      -0.649       0.139        6.66       0.733       0.316        0.65       0.477        12.3           8         4.5        7.91        4.51       0.457       0.865       0.594       0.511       0.931
MA99BC-5-coarse-anm-00157.dat            1.76      -0.219       0.159       0.171        3.89      0.0648       -0.34      -0.066        6.12       0.796       0.452       0.764       0.388        7.38        6.02        4.25        6.02        4.25       0.638       0.954       0.741       0.706       0.978
MA99BC-5-coarse-anm-00158.dat            2.25       0.213       -3.39    2.08e-16        6.94       0.216     -0.0273      -0.551        6.64       0.748       0.325       0.682       0.494        13.4        12.2        5.11        12.2        5.11         0.4       0.836       0.543       0.471       0.935
MA99BC-5-coarse-anm-00159.dat            1.32       -3.07      -0.387       0.194        5.91      0.0265      -0.422       0.666        7.29       0.687       0.223       0.595       0.488        11.9         8.3        2.91        8.22        3.03       0.306       0.742       0.454       0.355       0.888
MA99BC-5-coarse-anm-00160.dat            2.31     -0.0428       -0.68       0.824        5.52      0.0257       0.408      -0.225        5.88       0.799       0.418       0.778       0.433        10.8         9.6        6.66         9.6        6.66       0.654       0.961       0.753       0.725       0.982
MA99BC-5-coarse-anm-00161.dat            2.94     -0.0509    6.23e-18      -0.403        6.01      -0.239       0.507        1.42        5.98       0.834       0.489       0.808       0.458          12         9.9        7.07         9.9        7.07       0.649       0.958        0.75       0.717        0.98
MA99BC-5-coarse-anm-00162.dat            2.42      -0.194    2.38e-17     -0.0769        3.55        -0.2       0.188      -0.174        5.34        0.94       0.681       0.936       0.391        7.15        5.95        5.66        5.95        5.66       0.868       0.991        0.91         0.9       0.995
