Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00255.dat            1.39         0.9      -0.114       0.173        4.03      -0.557      0.0703      -0.144        6.45       0.757       0.344       0.695       0.393        8.13        4.48        3.72        4.14        3.63       0.626       0.912       0.732       0.641       0.938
MA99BC-5-coarse-anm-00256.dat           0.793       0.313      -0.494       0.112        2.84     -0.0942       0.494      -0.319         6.7       0.754       0.279       0.679       0.479        5.66        3.88        1.64        3.86        1.64        0.35       0.787       0.497       0.402       0.904
MA99BC-5-coarse-anm-00260.dat           0.881      -0.164      0.0421     -0.0931        1.99       0.159      0.0201        0.15        5.97       0.847       0.442       0.812       0.409        3.98        2.84        2.39        2.84        2.39       0.712       0.963       0.797       0.761       0.979
MA99BC-5-coarse-anm-00262.dat            1.08      0.0109      -0.174     -0.0447        2.58     -0.0558       0.292       0.164        6.04       0.829        0.42       0.804       0.403        5.19        4.03        2.84        4.03        2.84       0.622       0.947       0.729       0.688       0.974
MA99BC-5-coarse-anm-00263.dat            1.19        0.38      0.0975     -0.0495        2.68     0.00818        0.13      -0.179        5.99       0.792       0.444       0.756       0.382        5.36        3.87        3.05        3.87        3.05       0.669       0.956       0.765       0.725       0.975
MA99BC-5-coarse-anm-00265.dat           0.698        1.19           0        0.15        2.45      -0.113      -0.349      -0.145         6.7       0.725       0.284       0.633       0.452        4.93           3        1.58        2.99        1.61       0.419       0.838        0.56       0.466       0.915
MA99BC-5-coarse-anm-00266.dat           0.969      -0.441    5.41e-17      0.0278        2.24      0.0931       0.287       0.283        5.89       0.848       0.432       0.818        0.42        4.44        3.24        2.54        3.14        2.16       0.578       0.928       0.694       0.639       0.962
MA99BC-5-coarse-anm-00267.dat            1.45      -0.219        0.12      -0.137        3.11      -0.147      -0.313       0.251        6.25       0.806       0.468       0.781       0.365        6.26        4.51        4.12        4.43        4.16        0.79       0.974       0.855       0.826       0.984
MA99BC-5-coarse-anm-00269.dat            1.23      -0.224     -0.0283       0.164         2.5       -0.16      -0.041       -0.35        5.82       0.861       0.492       0.833       0.414        5.04         3.7        2.64        3.69        2.67        0.62       0.944       0.727       0.682        0.97
MA99BC-5-coarse-anm-00270.dat            1.34      -0.964        1.16      -0.388        3.77      -0.177      -0.376       0.264        6.44       0.759       0.356       0.689       0.475        7.48        6.83        3.09        6.76        3.08       0.433        0.86       0.572       0.506       0.944
MA99BC-5-coarse-anm-00271.dat            1.29       0.505           0     -0.0637        3.49       -0.08     9.8e-18      0.0377        5.89       0.807       0.369       0.767       0.387           7        3.59        3.05        3.54        3.15       0.634       0.913       0.738       0.646       0.938
MA99BC-5-coarse-anm-00272.dat             1.5      0.0117     -0.0359       0.024        2.45     -0.0311     -0.0956       0.183        5.65       0.904       0.611       0.896       0.367        4.81        4.41         3.6        4.41         3.6       0.781       0.987       0.848       0.836       0.994
MA99BC-5-coarse-anm-00273.dat            1.81       0.105      -0.323       0.187        4.09       0.166       0.512      -0.175        6.04       0.816       0.443       0.784        0.43        8.02        6.17        4.57        6.17        4.57        0.65       0.955       0.751       0.714       0.977
MA99BC-5-coarse-anm-00274.dat           0.914       0.777       0.564       0.121        2.74     -0.0359      0.0566      -0.261        6.34       0.729       0.334       0.663       0.448        5.49        4.16        2.04        4.13        2.05       0.431       0.855        0.57       0.496       0.936
MA99BC-5-coarse-anm-00277.dat            1.33        2.66           0    1.63e-16        5.64      0.0643      -0.337        0.73        6.89       0.705       0.236       0.602       0.449        11.3        6.07        3.23        6.07        3.23        0.39        0.81       0.534       0.423       0.892
MA99BC-5-coarse-anm-00278.dat            1.25      -0.712      -0.517      0.0554        4.06     -0.0626      0.0248       0.262         6.4       0.768       0.309       0.705       0.439        8.13        4.63        3.41        4.55         3.4        0.56       0.903       0.679       0.595       0.938
MA99BC-5-coarse-anm-00280.dat            1.44       0.518      -0.285      0.0747        3.07      0.0897      -0.141     -0.0544        6.05       0.823       0.469       0.797       0.403        6.17         4.9        3.95        4.84        3.89       0.712        0.97       0.797       0.769       0.984
MA99BC-5-coarse-anm-00281.dat            1.29       0.332     -0.0852       0.365        4.53      -0.631      -0.763      -0.628        6.96       0.711       0.284       0.637       0.465        9.15        5.39         3.2        5.39         3.2       0.456       0.859       0.592         0.5       0.922
MA99BC-5-coarse-anm-00283.dat            1.22     -0.0311      -0.494       0.272        3.69     -0.0575      -0.302      -0.223        6.41       0.772       0.331       0.711       0.448        7.43         4.7        2.86         4.7        2.86       0.484        0.88       0.617       0.536       0.935
MA99BC-5-coarse-anm-00284.dat            1.87       0.811      -0.321      -0.479        5.84       0.457      0.0577      -0.292        6.28       0.762       0.321       0.696       0.477        11.7        7.74        4.69        7.74        4.69       0.493       0.887       0.624        0.55       0.941
MA99BC-5-coarse-anm-00285.dat           0.969      -0.285       0.113      0.0787        3.48       0.133      0.0341       -0.25         6.9       0.729       0.278       0.648       0.547         6.9        5.86           2        5.86           2       0.314       0.755       0.462       0.373       0.904
MA99BC-5-coarse-anm-00286.dat            1.13      -0.065       0.341     -0.0218        2.11      0.0986       -0.21    1.42e-17        5.87       0.849       0.533       0.827       0.368        4.29        3.89        2.81        3.88        2.79       0.683       0.969       0.776       0.752       0.986
MA99BC-5-coarse-anm-00289.dat            1.47      -0.921      -0.865       -0.16        3.96         0.3       0.473       0.526        5.88       0.806       0.371       0.766       0.414        7.96        5.08        3.93        5.08        3.93       0.619       0.933       0.726       0.666        0.96
MA99BC-5-coarse-anm-00290.dat            1.41      -0.676      0.0854      0.0429        2.98       0.198        0.24       0.376        6.02       0.841       0.472       0.806       0.412        5.94        4.26        3.26         4.1        3.46       0.701       0.959       0.789       0.749       0.976
MA99BC-5-coarse-anm-00291.dat            1.63      -0.176      0.0451      0.0719        5.87      0.0445       0.708        1.29        6.76       0.727       0.278        0.66       0.448        11.7        7.01        4.92        6.96        4.94       0.547       0.903       0.669        0.59       0.942
MA99BC-5-coarse-anm-00293.dat            1.74       -1.39       0.176     -0.0884        4.66       0.595      -0.558      -0.766        6.36       0.783       0.374       0.709       0.399        9.37        4.48        4.32        4.48        4.32       0.666       0.912       0.763       0.665       0.936
MA99BC-5-coarse-anm-00294.dat            1.31       0.684      -0.176       0.229        3.25     -0.0558       0.172      -0.149        6.09       0.834       0.404       0.791       0.454        6.53        5.01        3.09        4.97        3.11       0.546       0.919       0.668       0.614       0.961
MA99BC-5-coarse-anm-00295.dat            1.36      -0.987      -0.543      -0.142        3.49       0.379      -0.458       0.193        6.02        0.83        0.39       0.788       0.432        6.98        4.84        3.22        4.84        3.22       0.555       0.918       0.675       0.615       0.957
