Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00046.dat             2.7        1.31       0.165       0.083         5.5      -0.461      -0.335       0.414         5.8       0.826       0.492       0.796       0.425          11        7.22        6.46        7.22        6.46       0.726       0.959       0.807       0.764       0.975
MA99BC-5-coarse-anm-00051.dat            2.45       0.943           0       -0.18        6.66      -0.728      -0.288       0.254        6.02       0.809       0.367       0.757        0.45        13.5        6.74        5.84        6.74        5.84       0.612       0.906       0.721       0.624       0.933
MA99BC-5-coarse-anm-00052.dat            2.76      -0.328      0.0414      0.0418        6.17     -0.0335      -0.532      -0.251        6.09       0.801       0.447       0.768       0.412        12.3        9.42        7.67        9.42         7.7       0.714       0.968       0.799       0.769       0.983
MA99BC-5-coarse-anm-00053.dat               2        0.25       0.531       -1.07        4.67       0.202       -0.19        0.59        5.98        0.79       0.429       0.757       0.482        9.13        8.58        6.05        8.58        6.05       0.683        0.97       0.776       0.753       0.986
MA99BC-5-coarse-anm-00054.dat            1.98        1.08      -0.426      -0.221        5.27       0.615     -0.0777       0.513        6.06       0.768       0.376       0.734       0.443        10.3         9.5        5.91         9.5        5.91       0.597       0.945       0.709       0.673       0.976
MA99BC-5-coarse-anm-00055.dat            2.29       -2.52       0.646       0.667         6.3       0.193        1.01      0.0649        6.29       0.764       0.364       0.707       0.434        12.8        8.62        6.08        8.58        6.19       0.591       0.929       0.704       0.646        0.96
MA99BC-5-coarse-anm-00056.dat            1.95        -2.8      -0.354      -0.725        6.19     -0.0187      -0.297       0.541        7.03       0.713       0.316       0.627       0.494        12.2        10.6        4.07        10.6        4.07       0.358       0.799       0.504       0.423       0.921
MA99BC-5-coarse-anm-00057.dat            2.28        0.62      -0.977       0.458        5.72       0.118      -0.619      -0.162        5.87       0.784       0.399       0.756       0.435        11.3        8.89        6.45        8.86         6.7       0.669        0.96       0.765       0.731        0.98
MA99BC-5-coarse-anm-00058.dat               2      -0.347      -0.547      -0.124        4.53      -0.216       -0.34      -0.429        6.07       0.773       0.442       0.749       0.395           9        7.13        5.37        7.13        5.37        0.67       0.961       0.766       0.734        0.98
MA99BC-5-coarse-anm-00059.dat            3.01      -0.759      -0.713     -0.0655        6.63       0.531      -0.837      -0.393        5.74        0.83       0.454         0.8       0.452        13.4        9.72        7.69        9.67        7.84        0.69        0.96       0.781       0.744       0.978
MA99BC-5-coarse-anm-00060.dat            2.07      -0.388        1.19       0.239        4.74      -0.035      -0.184      -0.728        6.01       0.834       0.436       0.801       0.478        9.49         8.3         5.4         8.3         5.4       0.608       0.947       0.718       0.682       0.976
MA99BC-5-coarse-anm-00063.dat             2.6       -1.32    1.62e-16       0.523        6.42     -0.0542      -0.861      -0.165        5.85       0.799       0.406       0.767       0.433        12.4        9.06        7.89        9.06        7.89       0.745       0.971       0.822       0.792       0.983
MA99BC-5-coarse-anm-00064.dat            1.79      -0.427       0.908      -0.397        4.41       0.128       -0.67        0.64        6.22       0.787       0.406       0.736       0.469        8.77         6.6        4.18        6.59        4.27       0.562       0.925       0.681       0.629       0.963
MA99BC-5-coarse-anm-00066.dat            1.91        1.11       0.284       0.144        6.47      0.0764     0.00965       0.404        6.41       0.771       0.296       0.684        0.45        12.9        6.04        4.72        6.04        4.72       0.534       0.875       0.659       0.544        0.91
MA99BC-5-coarse-anm-00067.dat             2.5        1.72       0.946      -0.638        6.75      -0.565       0.531      -0.426        6.64       0.724       0.371       0.654       0.425        13.7        9.88        5.83        9.84        5.82       0.502       0.896       0.632       0.566        0.95
MA99BC-5-coarse-anm-00068.dat            2.23        2.09      -0.264       0.401        6.87      -0.504       0.473      -0.132        6.62       0.743       0.324       0.668       0.521        13.6        12.6           5        12.6           5       0.382       0.821       0.526       0.451        0.93
MA99BC-5-coarse-anm-00070.dat            3.66       0.448     -0.0566       0.248        5.65      -0.219      0.0561      -0.212        5.33       0.937       0.647       0.928       0.445        11.3        9.25        8.52        9.25        8.52       0.833       0.988       0.886       0.873       0.993
MA99BC-5-coarse-anm-00072.dat            3.73       0.433      -0.523     -0.0858        6.92       0.323       0.509       0.728         5.6       0.884       0.539       0.863        0.49        13.6        12.5        8.72        12.5        8.72       0.669       0.966       0.765        0.74       0.985
MA99BC-5-coarse-anm-00073.dat             2.8       -1.76      -0.222       0.576        5.82       0.049      -0.257       -0.36        5.73       0.856       0.481       0.821       0.503        11.6        9.48        7.04        9.48        7.04       0.671       0.963       0.767       0.736       0.982
