Name                                   IS_Rad        IS_x        IS_y        IS_z      ES_Rad        ES_x        ES_y        ES_z      Acoeff  Sphericity         BSR    Round DP  Round MaxC      Length       Width       Thick          D2          D3    Corey SF         ASF         MPS         ESF     Hofmann
MA99BC-5-coarse-anm-00303.dat           0.871        0.13      -0.683      0.0878         2.8       0.124       0.263      -0.273        6.27       0.771       0.311       0.706       0.479        5.61         4.3        1.83        4.24        1.85        0.38       0.816       0.525       0.442       0.921
MA99BC-5-coarse-anm-00305.dat           0.991       -1.33      -0.169       -0.17        3.27       0.306        0.37      0.0606        6.35       0.746       0.303       0.668       0.439        6.57        3.88        3.02        3.86        3.03       0.602       0.921       0.713        0.64        0.95
MA99BC-5-coarse-anm-00306.dat            1.43        1.25      -0.157       -0.24        4.66      -0.562      -0.071       0.604        6.46       0.764       0.308       0.688       0.446        9.34        4.34         3.6        4.34         3.6       0.565       0.885       0.684       0.571       0.916
MA99BC-5-coarse-anm-00307.dat            1.57     -0.0818      -0.429     -0.0833        3.78      -0.115       0.244       0.253        6.06        0.79       0.416       0.756       0.384        7.51        4.88        3.41        4.54        4.29       0.736       0.952       0.815       0.761       0.969
MA99BC-5-coarse-anm-00308.dat            1.25     -0.0624      -0.192    1.24e-17        3.43       0.123       0.193       0.126        6.32       0.786       0.365        0.72       0.462        6.87        5.89        2.93        5.89        2.94       0.463       0.879       0.598       0.536        0.95
MA99BC-5-coarse-anm-00309.dat            1.44      -0.186      -0.225       0.185        3.75       0.218      -0.344       0.258        6.04        0.76       0.384       0.727       0.404        7.45         5.6        4.21        5.56        4.04       0.628       0.947       0.733        0.69       0.973
MA99BC-5-coarse-anm-00310.dat             1.2      -0.421      -0.508    4.04e-17        2.98       0.204      0.0807     -0.0712        6.15         0.8       0.404       0.759       0.405         5.6        4.62        2.75        4.38        3.68       0.744       0.975       0.821       0.797       0.986
MA99BC-5-coarse-anm-00311.dat             1.5     -0.0397     -0.0288     -0.0311        2.61     0.00427      0.0224       0.362         5.7       0.875       0.573       0.864       0.373        5.28        4.35        3.91        4.31        3.81       0.798       0.985       0.861       0.845       0.992
MA99BC-5-coarse-anm-00312.dat            1.27      0.0693       0.147      -0.103        2.93      -0.149      0.0381      -0.211        5.67       0.816       0.434       0.787       0.417        5.87        5.11        3.01        5.11        3.05       0.558       0.928       0.678       0.633       0.969
MA99BC-5-coarse-anm-00313.dat            1.18       0.204           0     -0.0809        2.85     -0.0717       0.152      -0.306        6.18       0.768       0.415       0.741       0.398        5.68        4.25        3.03        4.25        3.03       0.616       0.944       0.724       0.679       0.971
MA99BC-5-coarse-anm-00314.dat            1.32      -0.336     -0.0425      -0.215        2.92       0.183       0.564    3.63e-17        5.75       0.844        0.45        0.81       0.439        5.78         4.2        3.53        4.18        3.34        0.68       0.958       0.774       0.735       0.977
MA99BC-5-coarse-anm-00315.dat            1.19      -0.328        0.13       0.115        3.56    -0.00775     0.00307     0.00606        6.14       0.799       0.334       0.728       0.408        7.12        3.24        2.96        3.24        2.96       0.616       0.895       0.724       0.612       0.922
MA99BC-5-coarse-anm-00317.dat            1.45        0.15      -0.788       0.441         3.1      -0.213       0.155      -0.479        5.81       0.853       0.467       0.825       0.488        5.86           5        3.73        4.99        3.69       0.681       0.967       0.774       0.748       0.984
MA99BC-5-coarse-anm-00318.dat            1.57       0.897      -0.355      -0.248        4.41     -0.0589      -0.309       0.572         6.2       0.793       0.355       0.723       0.462        8.81        4.76        3.83        4.76         3.8       0.587       0.909       0.701       0.615       0.939
MA99BC-5-coarse-anm-00319.dat             1.4      -0.327       0.395    3.14e-17        4.09       0.128      -0.673       -0.73        6.22       0.787       0.342        0.74       0.451        8.26        4.78        4.07        4.65        4.43       0.714       0.941       0.799       0.733        0.96
MA99BC-5-coarse-anm-00320.dat             1.5       0.217        1.14        0.22        3.65       0.211      -0.255      -0.273        5.93       0.837       0.412        0.79       0.532        7.28        6.18        3.44        6.18        3.44       0.512       0.907        0.64       0.586        0.96
MA99BC-5-coarse-anm-00321.dat            1.27      -0.298       0.917     -0.0607        3.63      -0.109     -0.0599      -0.117        6.12       0.812       0.349       0.753       0.495        7.28         5.3        3.33         5.3        3.33       0.536       0.912        0.66         0.6       0.957
MA99BC-5-coarse-anm-00322.dat            1.09       0.147     -0.0583      -0.115        2.54       0.103       0.318      -0.184        6.27       0.793       0.428       0.761       0.414        5.01        4.09        3.19        4.04         3.2       0.711       0.971       0.797       0.771       0.985
MA99BC-5-coarse-anm-00323.dat             1.1       0.372        0.27     -0.0581         2.2     0.00863      -0.137    8.41e-18        5.79       0.865         0.5       0.845       0.424        4.39        3.46         3.2        3.45         3.2       0.821       0.985       0.877        0.86       0.991
MA99BC-5-coarse-anm-00324.dat            1.42      -0.844       0.793       0.545        3.78     -0.0423      0.0667      -0.308        6.46       0.717       0.376        0.67       0.423        7.59         5.8        4.82        5.74        4.61       0.698       0.965       0.787       0.755       0.981
MA99BC-5-coarse-anm-00326.dat            1.12       -0.75       0.193       0.199        2.65       0.125      0.0321      0.0709           6       0.829       0.423       0.794       0.412        5.28        3.63        2.57        3.52        2.51       0.582       0.925       0.697       0.637       0.958
MA99BC-5-coarse-anm-00328.dat             1.2       0.255      0.0322       0.121        3.44       0.161     -0.0204      -0.411        6.24       0.802       0.348       0.732       0.473        6.89        3.79        2.75        3.79        2.75       0.539       0.894       0.662       0.572       0.932
